Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
prologue_e318a086	narrator	Начало записи. Слышен треск помех, переходящий в оглушительный рев и вибрацию.	game/game-scripts/chapters/chapter_0_prologue.rpy	20	narrator "[what]"
prologue_952e4643	narrator	Где-то сквозь грохот пробивается скрежет рвущегося металла.	game/game-scripts/chapters/chapter_0_prologue.rpy	21	narrator "[what]"
prologue_b095a998	fcs	Внимание! Множественные повреждения! Отказ системы стабилизации!	game/game-scripts/chapters/chapter_0_prologue.rpy	25	fcs "[what]"
prologue_ab1180e0	unknown_f	{=yell}Дерьмо! {/yell}	game/game-scripts/chapters/chapter_0_prologue.rpy	27	unknown_f "[what]" with vpunch
prologue_e4e35800	extend	Только не сейчас! 	game/game-scripts/chapters/chapter_0_prologue.rpy	28	extend "[what]"
prologue_6fc08f5c	unknown_f	Автопилот... как выключить?! 	game/game-scripts/chapters/chapter_0_prologue.rpy	29	unknown_f "[what]"
prologue_376ac4ce	extend	{=yell}Ну же! {/yell}	game/game-scripts/chapters/chapter_0_prologue.rpy	30	extend "[what]" with vpunch
prologue_c1faf5e2	narrator	Слышно прерывистое, тяжелое дыхание.	game/game-scripts/chapters/chapter_0_prologue.rpy	32	narrator "[what]"
prologue_86968e85	narrator	Голос искажен напряжением.	game/game-scripts/chapters/chapter_0_prologue.rpy	32	narrator "[what]"
prologue_03d7a03e	narrator	К звукам добавляется пронзительный вой воздуха, рвущегося мимо поврежденной обшивки.	game/game-scripts/chapters/chapter_0_prologue.rpy	32	narrator "[what]"
prologue_8bf2d8a6	narrator	Кажется, челнок разваливается на части.	game/game-scripts/chapters/chapter_0_prologue.rpy	32	narrator "[what]"
prologue_77f6183d	fcs	Вход в стратосферу подтвержден.	game/game-scripts/chapters/chapter_0_prologue.rpy	44	fcs "[what]"
prologue_ad181e38	fcs	Расчетное время до столкновения: T-минус 90 секунд.	game/game-scripts/chapters/chapter_0_prologue.rpy	44	fcs "[what]"
prologue_81fb0c9c	fcs	Ошибка фазы аэродинамического торможения.	game/game-scripts/chapters/chapter_0_prologue.rpy	44	fcs "[what]"
prologue_979501ea	fcs	Скорость падения: КРИТИЧЕСКАЯ.	game/game-scripts/chapters/chapter_0_prologue.rpy	44	fcs "[what]"
prologue_71f2baf8	fcs	Аварийный сброс парашютной системы...	game/game-scripts/chapters/chapter_0_prologue.rpy	44	fcs "[what]"
prologue_65537ab7	unknown_f	Ну! Ну давай же, твою мать! 	game/game-scripts/chapters/chapter_0_prologue.rpy	56	unknown_f "[what]"
prologue_ea5c3994	unknown_f	{=yell}Быстрее! {/yell}	game/game-scripts/chapters/chapter_0_prologue.rpy	57	unknown_f "[what]" with vpunch
